frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
340,1,0.0005,0.0008,0.0,False,False
341,0,0.0571,0.0907,0.0067,False,False
341,1,0.0006,0.0009,0.0,False,False
342,1,0.0036,0.0015,0.0067,False,False
343,1,0.0036,0.0015,0.0067,False,False
344,0,0.0572,0.091,0.0067,False,False
344,1,0.0084,0.0007,0.02,False,False
345,0,0.0497,0.0828,0.0,False,False
345,1,0.0058,0.0008,0.0133,False,False
346,0,0.2191,0.0553,0.4648,False,False
346,1,0.0032,0.0009,0.0067,False,False
347,1,0.0039,0.002,0.0067,False,False
348,3,0.1586,0.1284,0.204,False,False
348,1,0.001,0.0017,0.0,False,False
349,1,0.004,0.0023,0.0067,False,False
350,1,0.0048,0.0017,0.0094,False,False
352,3,0.1512,0.1334,0.1779,False,False
353,3,0.0493,0.0722,0.0149,False,False
354,3,0.0373,0.0576,0.0067,False,False
355,3,0.0333,0.0511,0.0067,False,False
356,3,0.0304,0.0462,0.0067,False,False
357,3,0.0462,0.0499,0.0406,False,False
358,3,0.0333,0.051,0.0067,False,False
359,3,0.0394,0.0523,0.02,False,False
360,3,0.0331,0.0552,0.0,False,False
361,3,0.0351,0.0585,0.0,False,False
362,3,0.0403,0.0572,0.0149,False,False
363,3,0.0367,0.0612,0.0,False,False
364,3,0.0532,0.0787,0.0149,False,False
365,3,0.0604,0.1006,0.0,False,False
366,3,0.0644,0.1029,0.0067,False,False
381,3,0.202,0.0682,0.4027,False,False
382,3,0.1987,0.0665,0.3969,False,False
382,5,0.6,1.0,0.0,True,True
383,3,0.0455,0.0669,0.0133,False,False
384,3,0.0444,0.0695,0.0067,False,False
384,5,0.1128,0.0986,0.134,False,False
385,3,0.0528,0.0791,0.0133,False,False
385,5,0.0605,0.1008,0.0,False,False
